NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Kennedy CDP, New York",248,-666666666,59200,136,0,21,0,0,0,0,174,36,39243
"Kensington village, New York",1299,193417,1375000,361,0,0,0,0,0,3,453,36,39309
"Kerhonkson CDP, New York",2328,67819,204500,856,10,93,24,38,0,0,1056,36,39397
"Keuka Park CDP, New York",1153,69583,187500,177,0,20,0,0,0,0,197,36,39463
"Kiamesha Lake CDP, New York",268,68507,109400,130,63,0,0,0,55,0,248,36,39485
"Kinderhook village, New York",1370,83269,289200,532,16,40,20,46,0,2,656,36,39562
"Kings Park CDP, New York",16008,107261,462100,5181,417,227,217,234,126,9,6585,36,39672
"Kings Point village, New York",5493,153603,2000001,1412,0,0,0,0,0,0,1412,36,39694
"Kingston city, New York",23972,58840,198900,4724,514,2027,1256,672,623,321,10643,36,39727
"Kiryas Joel village, New York",32498,39826,566100,170,92,167,616,2558,1615,816,6069,36,39853
"Kysorville CDP, New York",58,66667,-666666666,18,0,0,0,0,0,0,42,36,40175
"Lackawanna city, New York",19697,43824,102900,4096,366,2348,1200,564,115,82,9324,36,40189
"Lacona village, New York",738,67313,128600,237,0,24,45,2,0,0,335,36,40200
"La Fargeville CDP, New York",677,-666666666,131700,115,6,0,94,0,0,5,246,36,40233
"Lake Carmel CDP, New York",7854,90183,290300,2473,287,159,9,28,17,0,2996,36,40398
"Lake Delta CDP, New York",3011,81830,198100,1192,39,25,22,10,0,0,1325,36,40475
"Lake Erie Beach CDP, New York",3266,54922,102900,2071,0,24,20,0,0,0,2150,36,40486
"Lake George village, New York",954,48087,255900,404,2,126,124,13,11,18,704,36,40508
"Lake Grove village, New York",11110,110804,449900,3114,105,34,0,250,118,25,3807,36,40530
"Lake Huntington CDP, New York",260,-666666666,262500,186,0,18,19,6,0,0,239,36,40552
"Lake Katrine CDP, New York",2465,56360,171000,468,98,9,26,104,112,0,997,36,40585
"Lakeland CDP, New York",2558,79412,136500,998,20,19,0,9,27,9,1187,36,40607
"Lake Luzerne CDP, New York",1386,46848,172500,1044,14,0,0,9,0,0,1150,36,40651
"Lake Mohegan CDP, New York",5645,139135,409800,1425,134,196,122,74,0,0,2100,36,40689
"Lake Placid village, New York",2221,47050,319000,903,103,169,310,202,0,63,1934,36,40761
"Lake Ronkonkoma CDP, New York",18214,92147,389100,5553,154,150,124,203,207,174,6869,36,40838
"Lake Success village, New York",2856,241029,1313300,768,0,0,0,0,0,0,777,36,40937
"Lakeview CDP, New York",6064,150245,424300,1433,0,18,0,0,0,0,1469,36,41003
"Lakeville CDP, New York",773,-666666666,-666666666,222,0,0,24,0,0,0,400,36,41036
"Lakewood village, New York",2988,61435,113300,1011,40,282,58,41,7,54,1563,36,41069
"Lancaster village, New York",10046,57316,139400,3354,106,629,700,159,37,20,5170,36,41135
"Lansing village, New York",3811,79875,291800,449,141,151,152,271,322,58,1714,36,41223
"Larchmont village, New York",6532,214186,1217400,1506,55,0,0,97,0,260,2202,36,41333
"Latham CDP, New York",14076,93327,255400,3608,510,177,300,320,591,179,6009,36,41399
"Lattingtown village, New York",2116,242917,1415800,746,10,5,0,13,0,0,774,36,41432
"Laurel CDP, New York",871,107460,617800,854,0,0,0,0,0,0,854,36,41465
"Laurel Hollow village, New York",1993,250001,1371000,650,0,0,0,0,0,0,650,36,41487
"Laurens village, New York",198,43188,119400,68,0,5,42,3,0,0,136,36,41520
"Lawrence village, New York",6793,153668,1125000,1358,0,96,35,94,30,126,2003,36,41553
"Leeds CDP, New York",375,-666666666,162500,133,0,29,24,0,0,0,196,36,41784
"Leicester village, New York",520,85000,122200,175,3,13,17,4,2,0,231,36,41872
"Le Roy village, New York",4346,57872,119600,1225,0,141,245,453,43,24,2190,36,42026
"Levittown CDP, New York",52540,128173,445700,16335,218,251,93,122,183,89,17378,36,42081
"Lewiston village, New York",2555,61359,192200,851,68,63,75,60,193,89,1424,36,42147
"Liberty village, New York",4956,34651,117700,822,0,248,411,387,122,134,2174,36,42224
"Lido Beach CDP, New York",2886,170000,721000,909,53,36,8,16,0,13,1259,36,42279
"Lima village, New York",2257,60563,149400,584,6,31,16,103,56,6,864,36,42323
"Lime Lake CDP, New York",763,49259,152200,423,0,8,17,0,0,0,575,36,42345
"Limestone CDP, New York",484,39500,62800,166,0,3,0,0,18,0,211,36,42378
"Lincolndale CDP, New York",1418,139467,413800,407,109,0,0,0,0,0,516,36,42455
"Lincoln Park CDP, New York",2371,60658,206100,548,7,28,34,145,178,13,1117,36,42488
"Lindenhurst village, New York",27169,106548,395100,7676,194,957,88,92,60,21,9121,36,42554
"Linwood CDP, New York",14,-666666666,-666666666,7,0,0,0,0,0,0,7,36,42609
"Lisle village, New York",221,58594,93100,79,0,0,5,0,0,0,94,36,42642
"Little Falls city, New York",4634,45958,69400,1181,42,572,184,146,0,26,2261,36,42741
"Little Valley village, New York",1094,38182,69400,307,0,39,38,48,0,31,463,36,42829
"Liverpool village, New York",2235,63393,148200,785,72,129,48,49,60,13,1173,36,42884
"Livingston Manor CDP, New York",784,29844,-666666666,406,0,0,0,30,0,21,578,36,42928
"Livonia village, New York",1480,62224,152900,374,3,27,160,63,11,13,653,36,42950
"Livonia Center CDP, New York",271,55000,156000,74,0,15,0,0,0,0,130,36,42972
"Lloyd Harbor village, New York",3577,215929,1396700,1165,90,0,0,2,0,0,1257,36,43005
"Loch Sheldrake CDP, New York",1499,51515,-666666666,480,81,187,35,34,0,0,847,36,43038
"Lockport city, New York",20876,51819,103900,6244,226,1252,1189,1120,156,99,10557,36,43082
"Locust Valley CDP, New York",3607,126369,653800,1165,0,98,23,0,0,0,1286,36,43192
"Lodi village, New York",297,43750,74400,122,0,7,13,0,0,0,162,36,43214
"Long Beach city, New York",34820,115525,570900,6564,434,2754,498,472,357,1105,16146,36,43335
"Long Lake CDP, New York",352,68750,191100,678,5,15,3,1,1,0,732,36,43401
"Lorenz Park CDP, New York",1919,77857,160200,465,6,23,23,0,0,58,811,36,43511
"Lorraine CDP, New York",98,56875,57500,40,0,0,0,0,0,0,56,36,43533
"Loudonville CDP, New York",10152,118138,302700,3848,45,142,43,0,23,0,4101,36,43566
"Lowville village, New York",3592,51875,142200,1061,24,113,380,53,0,139,1795,36,43720
"Lynbrook village, New York",20325,126832,519200,4465,119,1369,169,64,102,275,7430,36,43874
"Lyncourt CDP, New York",4173,51774,93400,1180,73,252,69,79,170,0,1900,36,43885
"Lyndonville village, New York",774,49342,87800,254,4,35,3,53,6,0,362,36,43918
"Lyon Mountain CDP, New York",256,85804,42700,150,0,0,0,0,19,0,169,36,43951
"Lyons CDP, New York",3492,55583,79800,1149,96,159,110,98,38,29,1704,36,43962
"Lyons Falls village, New York",546,51354,87600,213,2,14,6,0,9,0,259,36,44006
"MacDonnell Heights CDP, New York",1282,122353,235400,495,0,0,0,0,0,0,495,36,44105
"Macedon CDP, New York",1858,60000,150300,502,51,15,7,46,37,5,810,36,44149
"McGraw village, New York",1331,56328,88300,334,7,102,22,23,19,0,510,36,44193
"Machias CDP, New York",563,56172,57500,93,0,15,5,0,0,0,250,36,44226
"McLean CDP, New York",294,66771,108300,49,0,16,0,0,0,0,129,36,44358
"Madison village, New York",347,44375,93100,98,0,36,4,5,0,0,152,36,44424
"Madrid CDP, New York",812,75625,107800,214,0,26,20,4,0,0,283,36,44479
"Mahopac CDP, New York",8573,108955,384000,2543,166,119,169,194,138,89,3537,36,44534
"Malden-on-Hudson CDP, New York",246,-666666666,278200,171,53,0,0,0,0,0,231,36,44677
"Malone village, New York",5396,44737,94300,1760,21,247,542,271,26,24,2976,36,44710
"Malverne village, New York",8583,139915,541300,2985,13,71,23,24,10,24,3220,36,44787
"Malverne Park Oaks CDP, New York",581,123724,359900,283,0,0,0,0,0,0,283,36,44792
"Mamaroneck village, New York",19989,118440,640900,2633,292,1320,745,512,264,415,7138,36,44831
"Manchester village, New York",1507,56833,92300,402,9,47,56,6,16,0,703,36,44853
"Manhasset CDP, New York",8093,162500,1149300,2102,133,120,36,7,76,49,2741,36,44897
"Manhasset Hills CDP, New York",3928,173210,871000,1169,0,0,0,0,0,0,1174,36,44908
"Manlius village, New York",4688,67076,205500,1148,67,190,128,169,88,39,2081,36,45018
"Mannsville village, New York",460,70278,111300,135,0,10,10,0,0,0,180,36,45073
"Manorhaven village, New York",6923,89341,571200,800,380,1219,143,196,129,205,3092,36,45106
"Manorville CDP, New York",12106,115208,446500,3454,441,0,212,274,220,292,4992,36,45139
"Marathon village, New York",1077,64063,92000,293,3,35,58,12,5,0,425,36,45392
"Marcellus village, New York",2193,65954,187000,580,0,66,111,57,63,127,1026,36,45480
"Marcy CDP, New York",812,69688,-666666666,164,0,17,12,93,8,21,315,36,45524
"Margaretville village, New York",671,34922,162100,276,0,51,30,35,0,0,407,36,45557
"Mariaville Lake CDP, New York",670,-666666666,269100,253,4,119,0,0,0,0,376,36,45573
"Marion CDP, New York",1210,43902,124800,394,8,32,160,36,10,34,674,36,45634
"Marist College CDP, New York",2173,-666666666,-666666666,0,0,0,0,0,0,0,0,36,45659
"Marlboro CDP, New York",3758,94904,253500,1391,103,126,79,18,21,56,1829,36,45700
"Massapequa CDP, New York",22249,148295,580900,7435,22,137,0,0,15,0,7625,36,45986
"Massapequa Park village, New York",17149,146722,539900,5775,182,21,0,18,9,27,6060,36,45997
"Massena village, New York",10377,46894,80300,3664,57,593,417,258,108,96,5448,36,46019
"Mastic CDP, New York",15576,96139,285100,4551,34,47,0,0,0,0,4632,36,46074
"Mastic Beach CDP, New York",15333,92778,249700,5268,121,41,91,35,0,8,5598,36,46085
"Matinecock village, New York",807,189464,2000001,266,8,12,0,0,0,2,289,36,46107
"Mattituck CDP, New York",4584,96094,578600,2614,23,59,0,0,0,0,2722,36,46140
"Mattydale CDP, New York",6250,63245,96300,2117,22,20,107,63,191,28,2559,36,46151
"Maybrook village, New York",3146,80438,200200,522,303,62,203,133,115,56,1446,36,46162
"Mayfield village, New York",1001,66979,124500,352,0,41,7,25,0,0,442,36,46206
"Mayville village, New York",1466,75625,130800,637,0,47,39,17,7,48,798,36,46239
"Mechanicstown CDP, New York",7777,75169,208300,1228,765,35,130,545,242,193,3413,36,46349
"Mechanicville city, New York",5191,47785,158300,647,65,940,492,359,96,19,2760,36,46360
"Medford CDP, New York",24702,104773,352800,6408,823,273,51,146,257,72,8181,36,46404
"Medina village, New York",5941,46433,82800,1686,49,372,225,241,13,36,2721,36,46415
"Melrose Park CDP, New York",2120,112719,170300,756,48,10,0,0,0,0,814,36,46503
"Melville CDP, New York",18561,117472,694000,4234,1819,332,77,210,383,324,7522,36,46514
"Menands village, New York",4490,73281,248500,776,35,59,123,249,781,57,2177,36,46536
"Meridian village, New York",207,76875,118200,84,0,5,10,0,0,0,100,36,46646
"Merrick CDP, New York",20990,168400,610800,7081,91,45,68,40,30,6,7361,36,46668
"Merritt Park CDP, New York",1711,99792,395700,179,389,0,12,52,66,57,755,36,46750
"Mexico village, New York",1848,66235,131300,579,0,122,37,43,75,21,906,36,46811
"Middleburgh village, New York",1346,42614,147300,509,17,81,201,34,14,8,875,36,46866
"Middle Island CDP, New York",11129,81599,290000,2307,743,170,276,244,688,123,4730,36,46976
"Middleport village, New York",1824,52717,90400,568,0,98,98,25,11,27,827,36,46998
"Middletown city, New York",30086,59755,187800,5763,1098,1383,915,944,768,372,11872,36,47042
"Middleville village, New York",620,45938,99100,157,3,27,19,5,0,0,223,36,47108
"Milford village, New York",436,44722,118400,144,0,37,12,0,23,33,262,36,47229
"Millbrook village, New York",1364,60313,306800,387,38,130,154,101,48,3,869,36,47273
"Miller Place CDP, New York",12243,127213,450600,3788,162,341,22,38,0,21,4372,36,47306
"Millerton village, New York",871,69821,236600,266,4,51,39,24,7,12,411,36,47361
"Mill Neck village, New York",1142,250001,1408300,445,4,5,0,0,0,0,454,36,47405
"Millport village, New York",449,39688,76700,161,2,9,0,0,0,0,190,36,47427
"Millwood CDP, New York",721,155556,744800,287,57,0,9,0,0,0,364,36,47482
"Milton CDP (Saratoga County), New York",4417,94814,266100,1432,13,0,92,169,88,52,1952,36,47548
"Milton CDP (Ulster County), New York",1452,79063,241600,592,23,20,0,7,0,51,769,36,47554
"Mineola village, New York",20837,113571,563700,5049,112,560,272,322,275,525,8537,36,47636
"Minetto CDP, New York",1475,82857,146300,536,2,29,4,0,4,52,630,36,47680
"Mineville CDP, New York",1159,40677,78200,393,24,35,38,0,0,0,609,36,47702
"Minoa village, New York",3653,72500,139900,1160,0,83,111,109,10,15,1488,36,47757
"Mohawk village, New York",2595,66413,87100,893,0,58,117,45,0,47,1166,36,47823
"Mongaup Valley CDP, New York",352,59669,-666666666,161,0,21,0,17,0,0,217,36,47977
"Monroe village, New York",9392,107944,336800,2118,382,10,304,141,10,10,3009,36,47988
"Monsey CDP, New York",27359,43843,728600,1375,462,596,1045,886,498,157,5019,36,48010
"Montauk CDP, New York",4272,135927,995400,3473,112,24,47,131,72,109,4474,36,48054
"Montebello village, New York",4665,161853,677000,1250,122,0,14,44,0,13,1602,36,48090
"Montgomery village, New York",3815,94130,291000,810,97,52,198,18,63,34,1373,36,48142
"Monticello village, New York",7199,38885,121000,1276,73,246,353,612,11,322,3284,36,48175
"Montour Falls village, New York",1888,29878,96900,437,0,54,45,76,14,65,833,36,48197
"Montrose CDP, New York",3432,112222,360600,832,136,74,9,95,47,0,1241,36,48208
"Mooers CDP, New York",438,54922,132100,129,0,36,0,0,0,0,201,36,48241
"Moravia village, New York",1329,53375,118000,345,0,22,44,0,4,53,540,36,48296
"Moriches CDP, New York",2685,66762,358100,466,100,52,119,46,234,236,1352,36,48450
"Morris village, New York",585,59063,119900,211,9,7,28,7,0,0,296,36,48483
"Morrisonville CDP, New York",1388,61023,196100,439,11,41,62,35,0,0,632,36,48538
"Morristown village, New York",438,67000,133800,192,0,13,7,39,0,0,253,36,48571
"Morrisville village, New York",1885,48095,115900,217,2,33,9,9,37,51,367,36,48593
"Mountain Dale CDP, New York",359,-666666666,189300,365,0,13,0,0,0,0,413,36,48736
"Mountain Lodge Park CDP, New York",2270,76429,181000,833,0,0,19,0,54,0,906,36,48750
"Mount Ivy CDP, New York",7792,87109,265600,605,492,81,187,679,289,153,3071,36,48879
"Mount Kisco village, New York",10904,90331,432000,1111,522,452,205,511,224,412,4475,36,48890
"Mount Morris village, New York",3427,55000,79200,1018,22,189,166,17,15,84,1648,36,48945
"Mount Sinai CDP, New York",10904,134657,489300,3113,582,37,118,43,0,3,3909,36,49066
"Mount Vernon city, New York",72855,68300,380500,6759,1502,3396,3922,1749,2410,4001,30343,36,49121
"Mount Vision CDP, New York",142,58125,-666666666,49,0,5,13,10,0,0,84,36,49143
"Munnsville village, New York",466,61250,95500,142,0,18,12,5,0,0,191,36,49220
"Munsey Park village, New York",2806,250001,1635400,835,0,0,0,0,0,4,839,36,49231
"Munsons Corners CDP, New York",2782,50227,120400,504,20,79,5,203,138,0,1145,36,49242
"Muttontown village, New York",3514,213646,1654800,1188,0,0,0,0,0,0,1188,36,49330
"Myers Corner CDP, New York",10427,104351,319200,3079,169,30,343,34,136,37,3903,36,49363
"Nanuet CDP, New York",19624,106906,397600,3174,1013,504,759,956,141,335,7288,36,49407
"Napanoch CDP, New York",907,74042,127800,322,0,6,0,0,0,0,424,36,49418
"Napeague CDP, New York",144,-666666666,2000001,371,0,0,13,16,37,25,508,36,49424
"Naples village, New York",864,39125,125900,257,9,50,65,36,15,0,456,36,49429
"Narrowsburg CDP, New York",388,48438,185300,243,3,7,8,20,4,0,303,36,49473
"Nassau village, New York",1144,83900,173600,332,0,70,37,40,17,35,531,36,49506
"Nassau Lake CDP, New York",739,-666666666,129200,383,0,0,0,0,0,0,436,36,49555
"Natural Bridge CDP, New York",256,58310,48600,121,0,0,0,0,0,0,121,36,49605
"Nazareth College CDP, New York",1215,-666666666,-666666666,0,0,0,0,0,0,0,0,36,49715
"Nedrow CDP, New York",2218,69038,89900,886,9,19,24,0,0,0,943,36,49726
"Nelliston village, New York",682,38750,51800,195,0,26,92,29,0,0,417,36,49748
"Nelsonville village, New York",682,113333,528900,196,16,49,16,0,0,0,277,36,49781
"Nesconset CDP, New York",13313,134514,504500,3754,445,85,90,103,33,73,4700,36,49825
"Newark village, New York",9049,53138,103800,2449,150,466,343,246,233,117,4084,36,49891
"Newark Valley village, New York",1006,65833,103200,346,3,18,29,8,2,0,415,36,49902
"New Baltimore CDP, New York",560,-666666666,241200,242,0,0,0,0,0,0,254,36,49924
"New Berlin village, New York",819,51210,86000,333,11,79,19,41,0,4,542,36,49946
"Newburgh city, New York",28834,47952,166000,3165,858,2519,2375,554,345,394,11700,36,50034
"New Cassel CDP, New York",15841,106541,426400,2563,199,176,6,16,58,92,3316,36,50067
"New City CDP, New York",34118,151931,517000,9461,868,245,337,72,50,58,11262,36,50100
"Newfane CDP, New York",3419,49036,105500,1028,0,40,54,13,0,15,1425,36,50221
"Newfield CDP, New York",793,83164,115200,306,0,47,0,0,0,0,416,36,50243
"New Hackensack CDP, New York",1341,108242,297900,459,0,0,0,0,0,0,473,36,50265
"New Hamburg CDP, New York",793,111932,270700,244,0,52,0,12,0,0,308,36,50276
"New Hartford village, New York",1899,71000,170700,643,37,122,25,18,6,119,1014,36,50298
"New Hempstead village, New York",5440,120657,593800,1402,65,0,0,0,0,0,1467,36,50353
"New Hyde Park village, New York",10262,141056,631400,2594,63,385,12,35,22,20,3131,36,50397
"New Paltz village, New York",7378,51912,297100,674,25,217,379,361,330,53,2364,36,50551
"Newport village, New York",531,66250,116700,174,0,29,26,7,9,37,282,36,50573
"New Rochelle city, New York",80685,87159,578000,11540,1705,1650,2390,1742,1287,3634,30555,36,50617
"New Square village, New York",9433,24881,552200,120,197,231,557,549,65,110,1854,36,50705
"New Suffolk CDP, New York",319,93611,867300,299,2,4,0,0,0,0,305,36,50727
"New Windsor CDP, New York",8693,72917,256600,2322,121,111,88,307,153,92,3509,36,50837
"New York city, New York",8736047,70663,660700,331750,257484,452842,328119,236772,231138,578840,3590995,36,51000
"New York Mills village, New York",3293,48260,124800,682,51,332,287,139,192,175,1877,36,51011
"Niagara Falls city, New York",48763,43336,81700,16690,541,3895,1561,996,643,425,26149,36,51055
"Niagara University CDP, New York",1109,-666666666,-666666666,0,0,0,0,0,0,0,0,36,51088
"Nichols village, New York",576,58125,115100,198,2,7,17,14,6,0,246,36,51110
"Niskayuna CDP, New York",20369,116148,284400,6325,288,92,315,403,423,105,8275,36,51262
"Nissequogue village, New York",1640,150000,963100,649,4,8,0,0,0,0,661,36,51286
"Niverville CDP, New York",1163,105500,225000,706,0,27,0,0,0,0,733,36,51297
"Norfolk CDP, New York",844,44000,75000,348,6,0,9,47,6,22,510,36,51319
"North Amityville CDP, New York",19817,83923,357200,3622,308,172,107,136,129,499,5900,36,51396
"Northampton CDP, New York",1302,125391,327700,397,0,0,44,0,0,0,441,36,51418
"North Babylon CDP, New York",18776,109515,388200,4818,256,229,223,113,130,102,6121,36,51440
"North Ballston Spa CDP, New York",1332,76438,193500,527,11,0,58,0,0,0,682,36,51467
"North Bay CDP, New York",50,-666666666,-666666666,213,0,0,0,0,0,0,213,36,51484
"North Bay Shore CDP, New York",18524,87535,342100,3847,163,48,220,145,0,186,4638,36,51495
"North Bellmore CDP, New York",21535,156009,544100,6213,100,187,84,17,78,54,6733,36,51517
"North Bellport CDP, New York",10484,82103,320100,2755,196,4,91,188,100,99,3483,36,51528
"North Blenheim CDP, New York",33,54375,100000,28,0,0,0,0,0,0,28,36,51561
"North Boston CDP, New York",2568,53910,174000,987,45,12,37,156,0,0,1390,36,51583
"North Collins village, New York",1058,45833,102800,267,12,166,20,8,0,35,511,36,51792
"North Creek CDP, New York",576,55833,169900,193,45,15,19,0,0,24,324,36,51847
"Northeast Ithaca CDP, New York",3146,77553,295300,735,158,107,71,102,138,45,1395,36,51915
"North Gates CDP, New York",9494,64958,125600,2984,208,68,463,225,40,68,4460,36,52040
"North Granville CDP, New York",425,128596,141700,137,0,0,0,0,0,0,148,36,52067
"North Great River CDP, New York",3414,110438,393300,1009,111,69,18,49,20,27,1309,36,52078
"North Haven village, New York",891,145833,1409100,739,0,0,2,0,0,0,743,36,52188
"North Hills village, New York",5443,166908,1168500,508,1637,28,18,43,32,105,2614,36,53022
"North Hornell village, New York",1113,75313,123700,481,2,4,0,0,0,0,487,36,53055
"North Lindenhurst CDP, New York",11144,107550,364000,2681,148,641,15,20,73,107,3905,36,53198
"North Lynbrook CDP, New York",398,-666666666,486100,130,0,21,0,0,0,0,151,36,53231
"North Massapequa CDP, New York",18577,124322,507000,6170,127,182,36,12,10,0,6561,36,53253
"North Merrick CDP, New York",12392,134439,555700,4033,32,66,7,20,11,22,4221,36,53264
"North New Hyde Park CDP, New York",15125,146895,679200,4640,53,126,0,0,0,0,4829,36,53275
"North Patchogue CDP, New York",8138,107730,342200,2233,88,80,0,0,0,0,2425,36,53319
"Northport village, New York",7360,122250,646900,2346,187,98,267,118,76,17,3165,36,53396
"North Rose CDP, New York",628,53250,82600,289,0,5,0,0,0,0,294,36,53462
"North Sea CDP, New York",6191,141466,932000,3518,39,115,46,42,22,0,3795,36,53561
"North Syracuse village, New York",6796,61738,120600,1917,221,110,130,310,113,92,3004,36,53660
"North Tonawanda city, New York",30592,61926,140500,10104,78,1834,994,981,286,114,14902,36,53682
"North Valley Stream CDP, New York",18345,127949,483100,4646,341,212,337,0,38,42,5645,36,53748
"Northville village, New York",1190,61058,136800,350,0,113,59,21,0,0,563,36,53770
"Northville CDP, New York",1792,109028,704200,590,73,21,0,0,0,0,684,36,53775
"North Wantagh CDP, New York",11807,151408,480800,4010,136,45,0,26,66,18,4331,36,53792
"Northwest Harbor CDP, New York",5161,173043,962900,3462,110,0,243,0,0,0,3952,36,53852
"Northwest Ithaca CDP, New York",2053,61625,232000,437,80,9,134,184,91,100,1072,36,53853
"Norwich city, New York",6982,41554,100500,1366,166,569,460,289,88,270,3447,36,53979
"Norwood village, New York",1530,69091,83800,600,14,38,59,3,9,6,761,36,54012
"Noyack CDP, New York",4864,94464,816400,2883,51,32,0,0,0,0,3114,36,54056
"Nunda village, New York",1124,39444,89100,280,36,96,13,37,18,18,530,36,54078
"Nyack village, New York",7303,95000,526300,640,421,617,462,318,222,205,3446,36,54100
"Oak Beach CDP, New York",127,-666666666,-666666666,137,0,0,0,0,0,0,137,36,54111
"Oakdale CDP, New York",7276,112464,474700,1896,221,240,144,45,311,14,2974,36,54144
"Oakfield village, New York",1697,59688,113100,468,11,79,60,19,0,32,669,36,54155
"Ocean Beach village, New York",40,77273,678600,578,0,18,17,15,0,0,632,36,54430
"Oceanside CDP, New York",31182,125130,539500,9532,293,505,110,166,267,87,11129,36,54441
"Odessa village, New York",553,78750,135800,199,0,11,12,0,7,0,245,36,54452
"Ogdensburg city, New York",10153,53510,74400,3000,24,175,202,146,42,7,4124,36,54485
"Olcott CDP, New York",1120,64393,114100,541,0,18,0,0,0,0,632,36,54540
"Old Bethpage CDP, New York",5574,162425,679000,1688,106,0,9,17,216,29,2092,36,54551
"Old Brookville village, New York",1782,154318,1717000,610,4,57,13,0,0,0,684,36,54562
"Old Field village, New York",978,241250,1092700,388,0,0,0,0,0,0,388,36,54617
"Old Forge CDP, New York",638,93482,292000,564,15,59,21,16,0,36,769,36,54639
"Old Westbury village, New York",4567,250001,1964100,1100,59,0,7,0,0,0,1188,36,54705
"Olean city, New York",13941,43345,81000,3690,73,1136,659,450,158,147,6689,36,54716
"Oneida city, New York",10493,49516,121400,2810,194,533,217,367,203,65,4759,36,54837
"Oneida Castle village, New York",708,59464,118400,256,7,48,30,0,0,0,341,36,54848
"Oneonta city, New York",12764,58499,156800,2136,49,1025,810,593,87,113,4935,36,54881
"Ontario CDP, New York",1932,42438,163500,513,86,133,127,89,38,104,1163,36,55002
"Orangeburg CDP, New York",4606,92379,486500,1041,0,48,45,111,61,89,1522,36,55167
"Orange Lake CDP, New York",10159,92328,273000,3169,269,45,159,124,27,57,3896,36,55189
"Orchard Park village, New York",3100,87237,275300,799,23,88,51,314,87,10,1411,36,55266
"Orient CDP, New York",1037,78045,859300,907,6,36,0,0,0,0,949,36,55321
"Oriskany village, New York",1155,56979,130800,405,4,54,40,0,4,51,586,36,55365
"Oriskany Falls village, New York",737,36250,85900,203,13,17,48,2,12,33,336,36,55376
"Ossining village, New York",27368,85538,377700,3255,901,1682,834,1048,588,481,10454,36,55530
"Oswego city, New York",17105,47847,93200,5197,338,784,712,585,82,131,8431,36,55574
"Otego village, New York",864,54318,145500,265,3,49,53,37,0,0,422,36,55618
"Otisville village, New York",1550,85598,223100,393,0,43,79,0,7,0,524,36,55673
"Otter Lake CDP, New York",67,75288,226300,257,0,0,0,0,0,0,257,36,55750
"Ovid village, New York",508,61042,83300,201,10,26,13,3,0,3,277,36,55816
"Owego village, New York",3686,48750,94700,967,11,503,217,119,14,22,1974,36,55882
"Oxbow CDP, New York",89,75625,85900,45,0,0,0,0,0,0,45,36,55937
"Oxford village, New York",1392,43864,92500,420,7,67,50,72,0,4,667,36,55948
"Oyster Bay CDP, New York",6708,97946,610900,1470,118,332,266,319,263,63,2937,36,55992
"Oyster Bay Cove village, New York",1981,250001,1515700,711,3,4,0,0,0,0,730,36,56011
"Painted Post village, New York",1631,53523,139000,613,22,95,35,20,37,0,881,36,56088
"Palatine Bridge village, New York",684,55909,110500,202,13,28,18,7,4,88,369,36,56110
"Palenville CDP, New York",856,-666666666,184500,488,0,9,40,12,12,19,609,36,56132
"Palmyra village, New York",3326,65521,113000,821,32,161,301,202,0,22,1571,36,56187
"Pamelia Center CDP, New York",784,-666666666,178300,179,0,0,0,0,0,0,202,36,56212
"Panama village, New York",439,53125,83900,134,5,10,41,0,0,0,203,36,56231
"Parc CDP, New York",187,-666666666,-666666666,9,9,0,0,0,0,0,18,36,56291
"Parish village, New York",534,74250,110100,196,0,6,2,22,0,0,232,36,56341
"Parishville CDP, New York",667,54962,84200,256,5,24,0,0,7,13,326,36,56363
"Patchogue village, New York",12341,97730,364400,2839,378,408,113,566,361,396,5464,36,56660
"Paul Smiths CDP, New York",637,-666666666,-666666666,0,0,0,0,0,0,0,0,36,56770
"Pavilion CDP, New York",686,91429,107500,247,0,0,27,0,0,0,285,36,56781
"Pawling village, New York",2027,86125,287500,570,7,62,123,35,53,41,925,36,56814
"Peach Lake CDP, New York",1684,107670,391100,666,0,27,0,0,0,0,693,36,56869
"Pearl River CDP, New York",16387,130546,476300,4293,197,331,283,394,411,55,6103,36,56902
"Peconic CDP, New York",822,90192,758300,533,25,10,0,0,0,0,568,36,56968
"Peekskill city, New York",25304,75642,308300,3893,1852,1478,826,709,642,603,11355,36,56979
"Pelham village, New York",7255,151719,711200,1310,173,345,43,34,188,145,2370,36,57001
"Pelham Manor village, New York",5698,213056,918500,1392,29,8,1,0,30,172,1964,36,57023
"Penn Yan village, New York",5268,41014,119600,1481,13,311,371,130,45,149,2591,36,57177
"Perry village, New York",4377,54867,86400,1376,0,355,77,47,57,37,1999,36,57243
"Perrysburg CDP, New York",401,66625,98000,92,5,0,26,0,0,0,126,36,57287
"Peru CDP, New York",1458,63649,169700,475,36,110,0,80,0,0,709,36,57364
"Phelps village, New York",2081,58646,132100,689,5,72,111,30,0,0,928,36,57518
"Philadelphia village, New York",1057,35583,127700,192,39,20,158,39,37,53,539,36,57551
"Philmont village, New York",1403,54477,163600,335,15,115,126,32,0,52,684,36,57639
"Phoenicia CDP, New York",190,83295,260500,146,0,0,22,0,10,10,212,36,57650
"Phoenix village, New York",2600,54940,110600,642,17,149,136,176,70,36,1226,36,57661
